Line,Breeding_Program,Kernel_Plumpness,Trial
FEG162-34,MN,83.3025,CAP2_2007_BozemanDry
FEG163-02,MN,84.6214,CAP2_2007_BozemanDry
FEG163-02,MN,84.1699,CAP2_2007_BozemanIrr
FEG163-07,MN,85.2817,CAP2_2007_BozemanIrr
FEG163-07,MN,78.6727,CAP2_2007_BozemanDry
FEG163-14,MN,88.2201,CAP2_2007_BozemanDry
FEG163-14,MN,81.457,CAP2_2007_BozemanIrr
FEG163-21,MN,85.1016,CAP2_2007_BozemanDry
FEG163-21,MN,82.4238,CAP2_2007_BozemanIrr
FEG163-27,MN,88.4079,CAP2_2007_BozemanIrr
FEG163-27,MN,86.9896,CAP2_2007_BozemanDry
FEG163-48,MN,89.375,SP6-NormN_2011_Crookston
FEG163-48,MN,86.34,CAP6Row_Dry_2012_FtCollins
FEG163-48,MN,86.25,SP6-LowN_2012_Crookston
FEG163-48,MN,83.3759,CAP2_2007_BozemanIrr
FEG163-48,MN,81.66,CAP6Row_Irr_2012_FtCollins
FEG163-48,MN,81,SP6-NormN_2012_Crookston
FEG163-48,MN,80.4765,CAP2_2007_BozemanDry
FEG163-48,MN,79.884,SP6-LowN_2013_Prosper
FEG163-48,MN,73.6,SP6-NormN_2013_Prosper
FEG163-48,MN,71.36569493,SP6-LowN_2012_Prosper
FEG164-33,MN,80.8801,CAP2_2007_BozemanDry
FEG164-33,MN,80.5431,CAP2_2007_BozemanIrr
FEG164-49,MN,81.7804,CAP2_2007_BozemanDry
FEG164-49,MN,81.2592,CAP2_2007_BozemanIrr
FEG164-56,MN,89.78,CAP6Row_Irr_2012_FtCollins
FEG164-56,MN,86,SP6-NormN_2012_Crookston
FEG164-56,MN,84.831,SP6-NormN_2012_Prosper
FEG164-56,MN,84.25,SP6-LowN_2012_Crookston
FEG164-56,MN,83.7995,CAP2_2007_BozemanIrr
FEG164-56,MN,83.3254,CAP2_2007_BozemanDry
FEG164-56,MN,81.19,SP6-LowN_2013_Prosper
FEG164-56,MN,74.7,SP6-NormN_2013_Prosper
FEG164-56,MN,72.7585214,SP6-LowN_2012_Prosper
FEG166-14,MN,88.9598,CAP2_2007_BozemanIrr
FEG166-14,MN,88.1004,CAP2_2007_BozemanDry
FEG166-40,MN,87.4547,CAP2_2007_BozemanIrr
FEG166-40,MN,81.9504,CAP2_2007_BozemanDry
FEG167-10,MN,86.75,SP6-NormN_2012_Crookston
FEG167-10,MN,84.57,CAP6Row_Dry_2012_FtCollins
FEG167-10,MN,84.1699,CAP2_2007_BozemanIrr
FEG167-10,MN,83.3213,CAP2_2007_BozemanDry
FEG167-10,MN,83,SP6-NormN_2012_Pullman
FEG167-10,MN,82.75,SP6-LowN_2012_Crookston
FEG167-10,MN,78.61,CAP6Row_Irr_2012_FtCollins
FEG167-10,MN,76.991,SP6-LowN_2013_Prosper
FEG168-09,MN,89.2998,CAP2_2007_BozemanDry
FEG168-09,MN,89.0999,CAP2_2007_BozemanIrr
FEG168-19,MN,85.3231,CAP2_2007_BozemanDry
FEG168-19,MN,83.2559,CAP2_2007_BozemanIrr
FEG168-19,MN,81.5,SP6-LowN_2012_Crookston
FEG168-19,MN,81.5,SP6-NormN_2012_Crookston
FEG168-19,MN,73.708,SP6-LowN_2013_Prosper
FEG168-19,MN,70.28,CAP6Row_Dry_2012_FtCollins
FEG169-47,MN,88.6538,CAP2_2007_BozemanDry
FEG169-47,MN,87.9867,CAP2_2007_BozemanIrr
FEG169-47,MN,87.25,SP6-LowN_2012_Crookston
FEG169-47,MN,87.25,SP6-NormN_2012_Crookston
FEG169-47,MN,79,SP6-NormN_2012_Pullman
FEG169-47,MN,76.523,SP6-LowN_2013_Prosper
FEG169-47,MN,73.37963233,SP6-LowN_2012_Pullman
FEG169-54,MN,89.2344,CAP2_2007_BozemanIrr
FEG169-54,MN,88.6699,CAP2_2007_BozemanDry
FEG170-07,MN,88.1877,CAP2_2007_BozemanIrr
FEG170-07,MN,86.5268,CAP2_2007_BozemanDry
FEG170-27,MN,88.7706,CAP2_2007_BozemanIrr
FEG170-27,MN,86.8465,CAP2_2007_BozemanDry
FEG171-28,MN,71.1567,CAP2_2007_BozemanDry
FEG171-35,MN,85.7609,CAP2_2007_BozemanIrr
FEG171-35,MN,85.2756,CAP2_2007_BozemanDry
FEG172-14,MN,84.8037,CAP2_2007_BozemanIrr
FEG172-14,MN,83.7548,CAP2_2007_BozemanDry
FEG172-40,MN,89.303,SP6-LowN_2013_Prosper
FEG172-40,MN,88,SP6-LowN_2012_Crookston
FEG172-40,MN,87.7476,CAP2_2007_BozemanDry
FEG172-40,MN,87.24,CAP6Row_Irr_2012_FtCollins
FEG172-40,MN,83.8,SP6-NormN_2013_Prosper
FEG172-40,MN,82.25,SP6-NormN_2012_Crookston
FEG172-40,MN,82.08009903,SP6-LowN_2012_Prosper
FEG172-40,MN,78.93230231,SP6-LowN_2012_Pullman
FEG172-40,MN,78.421,SP6-NormN_2012_Prosper
FEG175-01,MN,89.643,CAP2_2007_BozemanIrr
FEG175-01,MN,89.1619,CAP2_2007_BozemanDry
FEG175-48,MN,88.8604,CAP2_2007_BozemanIrr
FEG175-48,MN,87.6849,CAP2_2007_BozemanDry
FEG175-57,MN,89.25,SP6-LowN_2011_Crookston
FEG175-57,MN,88.05,CAP6Row_Irr_2012_FtCollins
FEG175-57,MN,87.25,SP6-LowN_2012_Crookston
FEG175-57,MN,86.6,SP6-NormN_2013_Prosper
FEG175-57,MN,84.5,SP6-NormN_2012_Crookston
FEG175-57,MN,84.294,SP6-LowN_2013_Prosper
FEG175-57,MN,83.0974,CAP2_2007_BozemanIrr
FEG175-57,MN,80,SP6-NormN_2012_Pullman
FEG175-57,MN,77.27369721,SP6-LowN_2012_Prosper
FEG175-57,MN,71.41494018,SP6-LowN_2012_Pullman
FEG175-57,MN,70.993,SP6-NormN_2012_Prosper
FEG178-02,MN,88.99306565,CAP3_2008_BozemanIrr
FEG178-02,MN,87.7963,CAP3_2008_BozemanDry
FEG178-05,MN,86.2385,CAP3_2008_BozemanDry
FEG178-05,MN,82.84556161,CAP3_2008_BozemanIrr
FEG178-11,MN,87.2038945,CAP3_2008_BozemanIrr
FEG178-11,MN,84.9697,CAP3_2008_BozemanDry
FEG178-16,MN,88.3577,CAP3_2008_BozemanDry
FEG178-18,MN,89.9863,CAP3_2008_BozemanDry
FEG178-45,MN,89.48,CAP6Row_Irr_2012_FtCollins
FEG178-45,MN,88.25,SP6-NormN_2012_Crookston
FEG178-45,MN,83.1,SP6-NormN_2013_Prosper
FEG178-45,MN,82.84146901,SP6-LowN_2012_Pullman
FEG178-45,MN,82.115,SP6-LowN_2013_Prosper
FEG178-45,MN,78.891,SP6-NormN_2012_Prosper
FEG178-45,MN,77.40404883,SP6-LowN_2012_Prosper
FEG178-45,MN,73,SP6-NormN_2012_Pullman
FEG178-64,MN,88.0631,CAP3_2008_BozemanDry
FEG179-18,MN,89.9825,CAP3_2008_BozemanDry
FEG179-66,MN,89.6042,CAP3_2008_BozemanDry
FEG180-19,MN,87.08974947,SP6-LowN_2012_Pullman
FEG180-19,MN,83,SP6-NormN_2012_Crookston
FEG180-19,MN,82.628,SP6-LowN_2013_Prosper
FEG180-19,MN,78.8,SP6-NormN_2013_Prosper
FEG180-19,MN,71.375,SP6-NormN_2012_Prosper
FEG181-09,MN,88.05405405,CAP3_2008_BozemanIrr
FEG181-09,MN,87.25,SP6-NormN_2012_Crookston
FEG181-09,MN,85.1633,CAP3_2008_BozemanDry
FEG181-09,MN,84.1,SP6-NormN_2013_Prosper
FEG181-09,MN,74.81768123,SP6-LowN_2012_Prosper
FEG181-09,MN,73.252,SP6-NormN_2012_Prosper
FEG181-09,MN,71.4981033,SP6-LowN_2012_Pullman
FEG181-17,MN,87.48269611,CAP3_2008_BozemanIrr
FEG181-17,MN,86.9891,CAP3_2008_BozemanDry
FEG181-40,MN,88.49621243,CAP3_2008_BozemanIrr
FEG181-40,MN,88.3653,CAP3_2008_BozemanDry
FEG181-42,MN,88.84069516,CAP3_2008_BozemanIrr
FEG181-42,MN,85.1359,CAP3_2008_BozemanDry
FEG181-64,MN,85.4513,CAP3_2008_BozemanDry
FEG181-66,MN,85.55990406,CAP3_2008_BozemanIrr
FEG181-66,MN,81.8274,CAP3_2008_BozemanDry
FEG182-15,MN,78.43872932,CAP3_2008_BozemanIrr
FEG182-15,MN,71.306,CAP3_2008_BozemanDry
FEG182-31,MN,76.7371637,CAP3_2008_BozemanIrr
FEG182-37,MN,79.36578663,CAP3_2008_BozemanIrr
FEG182-37,MN,77.8731,CAP3_2008_BozemanDry
FEG182-57,MN,87.38603989,CAP3_2008_BozemanIrr
FEG182-57,MN,81.694,CAP3_2008_BozemanDry
FEG182-60,MN,89,SP6-LowN_2011_Crookston
FEG182-60,MN,88.17,CAP6Row_Irr_2012_FtCollins
FEG182-60,MN,87.04,CAP6Row_Dry_2012_FtCollins
FEG182-60,MN,85.21010384,CAP3_2008_BozemanIrr
FEG182-60,MN,82.75,SP6-LowN_2012_Crookston
FEG182-60,MN,82.7272,CAP3_2008_BozemanDry
FEG182-60,MN,79.896,SP6-LowN_2013_Prosper
FEG182-60,MN,77.548,SP6-NormN_2012_Prosper
FEG182-60,MN,77,SP6-NormN_2012_Pullman
FEG182-60,MN,76.70410588,SP6-LowN_2012_Prosper
FEG182-60,MN,72.22076785,SP6-LowN_2012_Pullman
